Loops Result
1 82.7
2 85.9
3 86.5
4 93.0
5 97.1
6 98.0
7 94.9
8 92.2
9 93.0
10 97.9
11 100.0
12 100.0
13 100.0
14 98.9
15 100.0
16 97.0
17 96.1
18 100.0
19 100.0
20 100.0
21 95.0
22 100.0
23 100.0
24 100.0
25 97.2
26 100.0
27 100.0
28 100.0
29 100.0
30 100.0
31 100.0
32 100.0
33 99.0
34 98.0
35 100.0
36 95.0
37 100.0
38 100.0
39 100.0
40 100.0
41 100.0
42 100.0
43 100.0
44 100.0
45 100.0
46 100.0
47 99.1
48 100.0
49 100.0
50 100.0
51 100.0
52 100.0
53 100.0
54 98.0
55 100.0
56 100.0
57 100.0
58 100.0
59 100.0
60 100.0
61 100.0
62 100.0
63 100.0
64 100.0
65 100.0
66 100.0
67 100.0
68 100.0
69 100.0
70 100.0
71 100.0
72 98.1
73 100.0
74 100.0
75 100.0
76 100.0
77 100.0
78 100.0
79 97.9
80 100.0
81 100.0
82 100.0
83 100.0
84 100.0
85 100.0
86 100.0
87 100.0
88 99.1
89 100.0
90 100.0
91 100.0
92 100.0
93 100.0
94 97.8
95 100.0
96 100.0
97 100.0
98 100.0
99 98.2
100 100.0
