Loops Result
1 80.1
2 79.9
3 87.0
4 88.2
5 85.0
6 81.2
7 87.4
8 89.9
9 85.1
10 72.4
11 92.3
12 89.6
13 81.4
14 85.6
15 84.6
16 74.6
17 86.3
18 84.0
19 85.7
20 70.6
21 88.9
22 84.5
23 80.8
24 77.3
25 84.1
26 80.8
27 80.6
28 84.2
29 84.8
30 84.3
31 87.0
32 81.5
33 82.2
34 82.7
35 72.3
36 88.1
37 81.8
38 90.1
39 90.1
40 88.8
41 90.7
42 81.1
43 78.5
44 85.5
45 85.0
46 81.1
47 86.9
48 87.9
49 90.4
50 89.3
51 90.2
52 73.5
53 73.6
54 84.7
55 87.0
56 63.1
57 77.2
58 79.8
59 91.7
60 79.2
61 85.2
62 84.8
63 72.5
64 86.3
65 85.1
66 81.8
67 85.5
68 90.0
69 78.0
70 81.2
71 74.5
72 77.6
73 86.5
74 79.4
75 75.7
76 86.1
77 86.1
78 81.8
79 79.7
80 89.9
81 81.9
82 89.7
83 86.5
84 78.1
85 83.8
86 91.1
87 86.7
88 81.0
89 77.3
90 74.7
91 81.4
92 71.4
93 84.3
94 86.7
95 83.5
96 79.8
97 86.2
98 81.7
99 87.9
100 75.9
