Loops Result
1 82.0
2 74.5
3 81.3
4 85.2
5 78.9
6 88.3
7 76.6
8 73.9
9 84.3
10 73.8
11 85.7
12 78.7
13 75.4
14 80.1
15 83.0
16 83.2
17 65.1
18 72.2
19 73.2
20 79.8
21 76.3
22 69.9
23 70.6
24 65.2
25 78.7
26 81.2
27 75.1
28 87.7
29 83.4
30 79.5
31 81.5
32 80.6
33 83.9
34 75.0
35 81.1
36 66.0
37 76.9
38 77.3
39 76.1
40 80.0
41 67.8
42 87.0
43 78.1
44 81.2
45 89.9
46 73.1
47 84.1
48 82.7
49 86.1
50 76.5
51 67.3
52 71.5
53 80.2
54 76.6
55 76.9
56 79.3
57 69.1
58 80.4
59 84.1
60 73.2
61 81.7
62 82.0
63 78.2
64 78.6
65 69.1
66 73.1
67 76.0
68 82.3
69 79.3
70 63.7
71 80.5
72 82.5
73 79.4
74 82.8
75 74.2
76 76.6
77 78.3
78 76.7
79 80.2
80 76.1
81 74.2
82 76.2
83 78.5
84 82.5
85 78.9
86 78.4
87 81.0
88 77.5
89 80.1
90 72.5
91 70.5
92 75.7
93 77.1
94 84.3
95 88.5
96 64.9
97 76.8
98 78.3
99 82.2
100 77.0
